83.84,63.03,60.32,57.92,55.56,51.34,49.39,47.7,46.7,47.01,46.39,45.82,45.27,
61.11,76.66,52.21,49.82,47.68,44.3,42.81,42.39,42.18,41.56,40.98,40.37,39.86,
58.34,49.64,72.22,46.85,44.56,41.94,40.38,39.17,39.19,38.8,38.03,37.46,36.82,
55.74,46.88,43.95,67.75,42.63,40.77,38.9,38.12,36.85,36.68,36.11,35.48,34.73,
53.09,44.82,41.64,39.71,63.43,40.51,38.61,37.93,36.66,35.22,34.87,34.26,33.49,
48.67,41.28,38.83,37.42,37.06,58.93,39.2,38.7,37.36,35.92,34.25,33.92,33.4,
46.46,39.5,37.12,35.59,35.37,35.77,55.8,38.96,37.54,36.15,34.77,33.1,32.55,
44.62,39.19,35.8,34.71,34.43,35.17,35.54,52.93,38.48,37.12,35.72,33.95,32.43,
43.53,38.89,35.68,33.41,33.16,33.95,34.13,35.16,51.12,37.81,36.1,34.65,33.11,
44.11,38.37,35.21,33.07,31.69,32.47,32.77,33.75,34.32,49.0,36.9,35.41,33.87,
43.15,37.63,34.55,32.42,31.26,30.58,31.01,32.17,32.82,33.66,47.19,34.89,33.36,
42.58,37.03,34.04,31.83,30.67,30.31,29.28,30.48,31.0,31.92,31.27,45.12,32.59,
41.77,36.41,33.26,31.24,29.94,29.59,28.85,28.54,29.3,30.29,29.58,28.91,43.3,
